circuitId,circuit name,circuitRef
1,Albert Park Grand Prix Circuit,albert_park
2,Sepang International Circuit,sepang
3,Bahrain International Circuit,bahrain
4,Circuit de Barcelona-Catalunya,catalunya
5,Istanbul Park,istanbul
6,Circuit de Monaco,monaco
7,Circuit Gilles Villeneuve,villeneuve
8,Circuit de Nevers Magny-Cours,magny_cours
9,Silverstone Circuit,silverstone
10,Hockenheimring,hockenheimring
11,Hungaroring,hungaroring
12,Valencia Street Circuit,valencia
13,Circuit de Spa-Francorchamps,spa
14,Autodromo Nazionale di Monza,monza
15,Marina Bay Street Circuit,marina_bay
16,Fuji Speedway,fuji
17,Shanghai International Circuit,shanghai
18,Autódromo José Carlos Pace,interlagos
19,Indianapolis Motor Speedway,indianapolis
20,Nürburgring,nurburgring
21,Autodromo Enzo e Dino Ferrari,imola
22,Suzuka Circuit,suzuka
23,A1-Ring,osterreichring
24,Yas Marina Circuit,yas_marina
25,Autódromo Juan y Oscar Gálvez,galvez
26,Circuito de Jerez,jerez
27,Autódromo do Estoril,estoril
28,Okayama International Circuit,okayama
29,Adelaide Street Circuit,adelaide
30,Kyalami,kyalami
31,Donington Park,donington
32,Autódromo Hermanos Rodríguez,rodriguez
33,Phoenix street circuit,phoenix
34,Circuit Paul Ricard,ricard
35,Korean International Circuit,yeongam
36,Autódromo Internacional Nelson Piquet,jacarepagua
37,Detroit Street Circuit,detroit
38,Brands Hatch,brands_hatch
39,Circuit Park Zandvoort,zandvoort
40,Zolder,zolder
41,Dijon-Prenois,dijon
42,Fair Park,dallas
43,Long Beach,long_beach
44,Las Vegas Street Circuit,las_vegas
45,Jarama,jarama
46,Watkins Glen,watkins_glen
47,Scandinavian Raceway,anderstorp
48,Mosport International Raceway,mosport
49,Montjuïc,montjuic
50,Nivelles-Baulers,nivelles
51,Charade Circuit,charade
52,Circuit Mont-Tremblant,tremblant
53,Rouen-Les-Essarts,essarts
54,Le Mans,lemans
55,Reims-Gueux,reims
56,Prince George Circuit,george
57,Zeltweg,zeltweg
58,Aintree,aintree
59,Circuito da Boavista,boavista
60,Riverside International Raceway,riverside
61,AVUS,avus
62,Monsanto Park Circuit,monsanto
63,Sebring International Raceway,sebring
64,Ain Diab,ain-diab
65,Pescara Circuit,pescara
66,Circuit Bremgarten,bremgarten
67,Circuit de Pedralbes,pedralbes
68,Buddh International Circuit,buddh
69,Circuit of the Americas,americas
70,Red Bull Ring,red_bull_ring
71,Sochi Autodrom,sochi
72,Port Imperial Street Circuit,port_imperial
73,Baku City Circuit,BAK
74,Hanoi Street Circuit,hanoi
75,Autódromo Internacional do Algarve,portimao
76,Autodromo Internazionale del Mugello,mugello
77,Jeddah Corniche Circuit,jeddah
78,Losail International Circuit,losail
79,Miami International Autodrome,miami